90.2,10.0,7.58
16.6,28.0,6.55
27.3,38.4,4.17
119.0,62.3,2.85
10.3,45.5,6.03
14.5,18.9,8.1
18.1,20.8,4.4
4.8,19.8,8.73
4.3,51.3,11.0
39.2,54.3,5.88
13.8,35.0,7.89
8.6,69.5,4.97
49.4,16.0,3.52
14.2,39.5,7.97
5.5,51.4,5.61
4.5,76.4,10.7
18.8,58.2,5.2
111.0,23.8,4.1
42.7,42.5,5.2
46.6,41.2,4.84
6.9,29.7,11.1
52.5,43.6,8.3
19.8,10.7,9.01
10.5,67.4,2.84
10.8,50.2,6.87
116.0,19.2,6.74
93.6,8.92,11.6
44.4,54.1,5.68
108.0,22.2,5.13
5.6,29.1,11.3
26.5,32.7,4.09
149.0,11.8,3.98
150.0,36.8,4.53
8.7,37.7,7.96
15.7,26.3,5.07
18.6,15.9,7.59
88.2,16.5,4.51
116.0,41.1,7.91
63.9,85.1,2.46
10.2,33.2,10.9
111.0,50.6,5.3
5.5,37.6,7.76
3.6,50.2,5.97
3.4,66.0,7.88
4.1,50.5,11.4
34.4,22.7,6.22
25.1,27.9,8.06
29.1,21.3,4.66
19.2,26.9,6.91
111.0,85.8,4.48
55.2,4.79,2.66
4.5,75.1,6.03
24.1,57.8,4.86
3.0,38.7,8.95
4.2,26.8,11.9
63.7,57.7,3.5
80.3,23.8,5.69
16.5,35.0,10.1
4.2,42.3,11.6
74.7,29.5,5.22
3.9,22.1,10.3
14.6,23.8,5.86
35.4,25.8,6.85
109.0,30.3,4.93
114.0,14.9,8.5
37.6,51.4,5.38
208.0,15.3,6.91
6.0,81.8,7.33
2.6,53.4,9.4
58.8,22.6,4.05
33.3,24.3,2.61
19.3,24.4,5.6
36.9,39.4,8.41
4.2,103.0,9.19
4.6,35.0,7.63
4.0,25.2,9.53
18.1,31.3,4.81
3.2,15.0,9.49
21.1,48.3,8.04
21.5,44.2,4.29
62.2,20.7,4.75
62.7,13.3,11.3
10.8,66.7,2.63
29.6,51.6,6.18
78.9,35.4,4.47
7.8,53.7,6.68
10.3,35.8,7.03
99.7,39.4,11.1
89.3,19.1,11.8
16.6,65.6,3.88
6.1,65.3,7.04
2.8,175.0,7.77
10.4,39.8,7.09
62.2,25.0,3.77
90.5,22.8,6.59
7.9,86.9,4.39
13.2,77.6,6.33
137.0,22.8,4.98
6.8,153.0,8.65
97.4,50.7,4.41
15.0,51.2,6.0
40.0,23.5,14.2
17.2,39.2,11.7
26.1,46.7,5.44
6.8,37.0,9.11
33.5,32.2,5.2
101.0,31.5,5.21
64.4,0.109,1.97
56.0,47.8,6.78
47.0,9.58,5.25
4.5,72.0,11.9
6.2,30.3,10.1
123.0,22.2,5.16
130.0,25.3,5.07
3.2,39.7,9.48
11.7,65.7,2.77
92.1,13.5,2.2
19.7,70.0,8.1
24.1,55.1,5.87
20.3,27.8,5.08
31.9,34.8,3.61
6.0,40.1,7.46
3.9,29.9,11.0
9.0,62.3,1.81
11.5,32.6,5.58
10.0,29.2,5.08
63.6,12.0,10.5
18.9,29.2,6.47
15.7,49.6,4.29
66.8,24.9,5.66
7.6,32.9,10.4
14.4,93.8,3.4
160.0,16.8,13.1
2.8,200.0,3.96
7.0,76.3,8.79
3.2,64.3,9.41
28.1,49.3,8.55
53.7,28.6,8.94
4.1,49.4,6.93
3.8,25.5,9.54
11.2,19.6,2.94
20.7,26.9,4.47
76.7,19.7,6.32
24.1,52.5,7.01
3.0,46.2,9.63
4.5,64.0,11.5
52.4,14.9,5.98
71.9,18.7,6.01
14.9,66.5,3.88
62.6,2.2,9.12
90.3,40.2,7.65
17.4,12.4,5.07
17.4,50.5,6.21
19.1,20.4,6.74
62.0,76.3,2.5
81.0,17.1,9.01
11.7,47.1,7.72
8.6,77.7,3.66
5.2,28.2,9.64
7.3,12.4,17.9
10.6,26.3,8.35
36.3,31.7,5.81
29.2,46.6,5.25
17.1,28.5,4.91
23.3,72.0,6.84
56.3,30.0,5.18
83.1,37.0,5.89
